671;376;-12
0;-1;96;-52
71669;Fraunhofer Diffraction - Burning Bridges.mp3;-1183;273
Zombie_Run.png;9558;367;1
Zombie_Run.png;9458;367;1
Zombie3_Run_2.png;9358;375;5
Zombie2_Run_2.png;8976;371;3
Zombie3_Run_2.png;8876;367;5
Zombie4_Run_2.png;8776;375;7
Zombie2_Run_2.png;8676;367;3
Zombie4_Run_2.png;8858;355;7
Zombie_Run.png;8758;367;1
Zombie4_Run_2.png;8376;363;7
Zombie3_Run_2.png;8276;367;5
Zombie3_Run_2.png;8176;371;5
Zombie4_Run_2.png;8358;383;7
Zombie_Run.png;8258;355;1
Zombie3_Run_2.png;7876;367;5
Zombie3_Run_2.png;7776;363;5
Zombie3_Run_2.png;7958;367;5
Zombie2_Run_2.png;7858;363;3
Zombie2_Run_2.png;7758;363;3
Zombie4_Run_2.png;7658;355;7
Zombie2_Run_2.png;7558;375;3
Zombie4_Run_2.png;7458;355;7
Zombie3_Run_2.png;7076;359;5
Zombie4_Run_2.png;7258;371;7
Zombie4_Run_2.png;6876;367;7
Zombie4_Run_2.png;6776;371;7
Zombie_Run.png;6676;371;1
Zombie_Run.png;6576;351;1
Zombie_Run.png;6758;363;1
Zombie2_Run_2.png;6376;367;3
Zombie4_Run_2.png;6276;355;7
Zombie4_Run_2.png;6458;367;7
Zombie2_Run_2.png;6358;367;3
Zombie4_Run_2.png;6258;347;7
Zombie3_Run_2.png;6158;359;5
Zombie_Run.png;5776;375;1
Zombie3_Run_2.png;5676;351;5
Zombie4_Run_2.png;5576;367;7
Zombie2_Run_2.png;5476;363;3
Zombie3_Run_2.png;5658;375;5
Zombie2_Run_2.png;5276;363;3
Zombie_Run.png;5458;367;1
Zombie4_Run_2.png;5076;367;7
Zombie4_Run_2.png;4976;367;7
Zombie3_Run_2.png;5158;367;5
Zombie2_Run_2.png;5058;371;3
Zombie4_Run_2.png;4676;359;7
Zombie4_Run_2.png;4858;371;7
Zombie4_Run_2.png;4758;359;7
Zombie_Run.png;4658;371;1
Zombie4_Run_2.png;4276;371;7
Zombie4_Run_2.png;4458;359;7
Zombie_Run.png;4076;371;1
Zombie4_Run_2.png;4258;363;7
Zombie_Run.png;4158;375;1
Zombie4_Run_2.png;3776;379;7
Zombie_Run.png;3676;371;1
Zombie3_Run_2.png;3858;379;5
Zombie_Run.png;3476;371;1
Zombie3_Run_2.png;3658;371;5
Zombie4_Run_2.png;3276;351;7
Zombie2_Run_2.png;3176;343;3
Zombie4_Run_2.png;3358;363;7
Zombie_Run.png;3258;363;1
Zombie4_Run_2.png;3158;371;7
Zombie_Run.png;2776;359;1
Zombie4_Run_2.png;2676;375;7
Zombie3_Run_2.png;2858;367;5
Zombie4_Run_2.png;2476;347;7
Zombie3_Run_2.png;2376;367;5
Zombie4_Run_2.png;2276;367;7
Zombie4_Run_2.png;2176;367;7
Zombie4_Run_2.png;2076;371;7
Zombie4_Run_2.png;2258;375;7
Zombie3_Run_2.png;1876;367;5
Zombie2_Run_2.png;1776;375;3
Zombie3_Run_2.png;1958;379;5
Zombie3_Run_2.png;1576;367;5
Zombie2_Run_2.png;1758;371;3
Zombie_Run.png;1658;375;1
Zombie3_Run_2.png;1458;375;2
Zombie4_Run_2.png;179;395;2
Zombie2_Run_2.png;115;371;3
Zombie2_Run_2.png;51;371;3
Zombie3_Run_2.png;3;399;5
Zombie2_Run_2.png;710;9157;3
Zombie4_Run_2.png;-242;9155;7
Zombie_Run.png;-342;9155;1
Zombie4_Run_2.png;-442;9155;7
