575;428;50
0;-1;0;0
46869;Forsch,Broosnica,Forsch, Broosnica - Odinochestvo V Seti.mp3;-1694;274
Zombie3_Run_2.png;8859;368;5
Zombie3_Run_2.png;8759;368;5
Zombie2_Run_2.png;8753;364;3
Zombie4_Run_2.png;8653;352;7
Zombie2_Run_2.png;8553;372;3
Zombie_Run.png;8453;348;1
Zombie3_Run_2.png;8353;368;5
Zombie4_Run_2.png;8253;368;7
Zombie3_Run_2.png;8153;364;5
Zombie2_Run_2.png;7959;360;3
Zombie2_Run_2.png;7859;364;3
Zombie3_Run_2.png;7759;372;5
Zombie3_Run_2.png;7753;372;5
Zombie3_Run_2.png;7559;352;5
Zombie4_Run_2.png;7553;352;7
Zombie_Run.png;7453;364;1
Zombie_Run.png;7259;364;1
Zombie4_Run_2.png;7253;372;7
Zombie4_Run_2.png;7153;356;7
Zombie4_Run_2.png;7053;360;7
Zombie2_Run_2.png;6859;364;3
Zombie2_Run_2.png;6759;356;3
Zombie4_Run_2.png;6753;356;7
Zombie2_Run_2.png;6559;360;3
Zombie3_Run_2.png;6553;360;5
Zombie4_Run_2.png;6453;364;7
Zombie4_Run_2.png;6259;360;7
Zombie_Run.png;6253;368;1
Zombie3_Run_2.png;6059;364;5
Zombie3_Run_2.png;5959;536;5
Zombie2_Run_2.png;5953;360;3
Zombie2_Run_2.png;5759;360;3
Zombie3_Run_2.png;5753;432;5
Zombie4_Run_2.png;5653;364;7
Zombie3_Run_2.png;5553;356;5
Zombie2_Run_2.png;5359;372;3
Zombie3_Run_2.png;5353;372;5
Zombie_Run.png;5253;364;1
Zombie_Run.png;5059;372;1
Zombie3_Run_2.png;4959;364;5
Zombie3_Run_2.png;4859;372;5
Zombie4_Run_2.png;4759;364;7
Zombie2_Run_2.png;4659;364;3
Zombie4_Run_2.png;4653;364;7
Zombie_Run.png;4459;356;1
Zombie_Run.png;4359;360;1
Zombie3_Run_2.png;4259;376;5
Zombie2_Run_2.png;4159;400;3
Zombie4_Run_2.png;4153;400;7
Zombie3_Run_2.png;3959;508;5
Zombie_Run.png;3859;556;1
Zombie3_Run_2.png;3759;568;5
Zombie_Run.png;3753;564;1
Zombie_Run.png;3559;576;1
Zombie3_Run_2.png;3553;576;5
Zombie2_Run_2.png;3453;620;3
Zombie3_Run_2.png;3353;612;5
Zombie4_Run_2.png;3253;576;7
Zombie_Run.png;3059;556;1
Zombie2_Run_2.png;2959;588;3
Zombie2_Run_2.png;2953;592;3
Zombie2_Run_2.png;2759;584;3
Zombie4_Run_2.png;2659;556;7
Zombie2_Run_2.png;2559;592;3
Zombie3_Run_2.png;2553;596;5
Zombie4_Run_2.png;2359;608;7
Zombie_Run.png;2353;608;1
Zombie_Run.png;2253;604;1
Zombie_Run.png;2059;568;1
Zombie4_Run_2.png;2053;568;7
Zombie_Run.png;1953;576;1
Zombie4_Run_2.png;1853;604;7
Zombie4_Run_2.png;1753;636;7
Zombie2_Run_2.png;1559;604;3
Zombie3_Run_2.png;1553;600;5
Zombie4_Run_2.png;1453;624;7
Zombie_Run.png;1353;624;1
Zombie3_Run_2.png;1253;620;5
Zombie_Run.png;1153;620;1
Zombie3_Run_2.png;551;626;5
Zombie3_Run_2.png;553;590;5
Zombie_Run.png;551;634;1
Zombie4_Run_2.png;553;630;7
Zombie4_Run_2.png;588;644;7
Zombie_Run.png;551;626;1
Zombie2_Run_2.png;553;630;3
Zombie_Run.png;528;580;1
Zombie3_Run_2.png;528;596;5
Zombie3_Run_2.png;517;566;5
Zombie4_Run_2.png;-434;600;7
Zombie4_Run_2.png;-506;580;7
Zombie4_Run_2.png;-302;4408;7
Zombie3_Run_2.png;-302;4400;5
Zombie_Run.png;-404;5924;1
Zombie2_Run_2.png;-424;1088;3
Zombie3_Run_2.png;-182;6124;5
Zombie2_Run_2.png;-62;6124;3
Zombie2_Run_2.png;-43;6126;3
Zombie_Run.png;-45;6126;1
Zombie4_Run_2.png;-947;6124;7
Zombie4_Run_2.png;-1141;6124;7
