575 428 50
0 -1 0 0
-2823 509
58645 Fraunhofer Diffraction - Burning Bridges.mp3
Zombie_Run.png 7747 601 1
Zombie4_Run_2.png 7647 597 7
Zombie3_Run_2.png 7547 593 5
Zombie4_Run_2.png 7507 597 7
Zombie_Run.png 7407 593 1
Zombie_Run.png 7247 601 1
Zombie_Run.png 7207 593 1
Zombie_Run.png 7047 605 1
Zombie_Run.png 6947 605 1
Zombie_Run.png 6907 597 1
Zombie4_Run_2.png 6807 593 7
Zombie4_Run_2.png 6707 605 7
Zombie4_Run_2.png 6547 609 7
Zombie4_Run_2.png 6447 593 7
Zombie3_Run_2.png 6347 597 5
Zombie3_Run_2.png 6247 601 5
Zombie4_Run_2.png 6207 589 7
Zombie_Run.png 6047 597 1
Zombie3_Run_2.png 6007 593 5
Zombie3_Run_2.png 5847 593 5
Zombie2_Run_2.png 5747 585 3
Zombie3_Run_2.png 5647 589 5
Zombie2_Run_2.png 5547 609 3
Zombie4_Run_2.png 5507 605 7
Zombie2_Run_2.png 5347 605 3
Zombie_Run.png 5307 597 1
Zombie_Run.png 5147 613 1
Zombie4_Run_2.png 5047 613 7
Zombie4_Run_2.png 5007 601 7
Zombie2_Run_2.png 4907 597 3
Zombie2_Run_2.png 4747 605 3
Zombie4_Run_2.png 4647 601 7
Zombie_Run.png 4607 593 1
Zombie4_Run_2.png 4447 609 7
Zombie4_Run_2.png 4347 581 7
Zombie_Run.png 4247 601 1
Zombie3_Run_2.png 4207 585 5
Zombie3_Run_2.png 4107 601 5
Zombie_Run.png 3947 605 1
Zombie4_Run_2.png 3847 601 7
Zombie4_Run_2.png 3747 605 7
Zombie4_Run_2.png 3647 605 7
Zombie2_Run_2.png 3607 605 3
Zombie4_Run_2.png 3447 605 7
Zombie4_Run_2.png 3407 605 7
Zombie_Run.png 3247 617 1
Zombie_Run.png 3147 609 1
Zombie3_Run_2.png 3047 597 5
Zombie3_Run_2.png 2947 601 5
Zombie4_Run_2.png 2847 593 7
Zombie4_Run_2.png 2807 593 7
Zombie4_Run_2.png 2647 609 7
Zombie2_Run_2.png 2547 601 3
Zombie2_Run_2.png 2507 613 3
Zombie4_Run_2.png 2407 601 7
Zombie4_Run_2.png 2247 589 7
Zombie3_Run_2.png 2147 613 5
Zombie_Run.png 2107 593 1
Zombie2_Run_2.png 2007 605 3
Zombie_Run.png 1847 621 1
Zombie3_Run_2.png 1747 601 5
Zombie_Run.png 1707 601 1
Zombie_Run.png 1547 581 1
Zombie_Run.png 1447 597 1
Zombie2_Run_2.png 1407 605 3
Zombie4_Run_2.png 1307 601 7
Zombie2_Run_2.png 1207 601 3
Zombie3_Run_2.png 1107 593 5
Zombie2_Run_2.png 1007 609 3
Zombie4_Run_2.png 480 601 7
Zombie2_Run_2.png 536 601 3
Zombie2_Run_2.png 707 605 3
Zombie4_Run_2.png 520 601 7
Zombie3_Run_2.png 480 601 5
Zombie_Run.png 560 597 1
Zombie2_Run_2.png 520 601 3
Zombie_Run.png 46 601 1
Zombie_Run.png -173 613 1
Zombie2_Run_2.png -237 601 3
Zombie4_Run_2.png -315 605 7
Zombie4_Run_2.png -315 605 7
Zombie_Run.png -197 609 1
Zombie3_Run_2.png -555 605 5
Zombie4_Run_2.png -930 613 7
Zombie_Run.png -882 609 1
Zombie3_Run_2.png -946 613 5
Zombie3_Run_2.png -916 605 5
Zombie_Run.png -503 607 1
Zombie2_Run_2.png -625 623 3
Zombie3_Run_2.png -663 603 5
Zombie2_Run_2.png -872 625 3
Zombie2_Run_2.png -1153 627 3
Zombie4_Run_2.png -1153 623 7
Zombie3_Run_2.png -1153 623 5
Zombie2_Run_2.png -267 611 3
Zombie_Run.png -625 7583 1
Zombie2_Run_2.png -1393 607 3
Zombie4_Run_2.png -1393 615 7
Zombie3_Run_2.png -1393 7107 5
Zombie4_Run_2.png -1153 7831 7
Zombie_Run.png -249 7833 1
